"loan_id";"account_id";"date";"amount";"duration";"payments";"status"
5988;4851;960822 00:00:00;141648;24;5902.00;"A"
5282;1583;960824 00:00:00;388512;48;8094.00;"D"
5938;4650;960825 00:00:00;402000;60;6700.00;"C"
5606;3084;960828 00:00:00;253512;36;7042.00;"D"
5385;2143;960909 00:00:00;71460;36;1985.00;"C"
6865;9199;960911 00:00:00;29448;12;2454.00;"B"
5586;2994;960914 00:00:00;48744;36;1354.00;"C"
6302;6397;960916 00:00:00;181020;60;3017.00;"C"
7194;10762;960917 00:00:00;68832;36;1912.00;"C"
6461;7136;960919 00:00:00;74124;36;2059.00;"C"
6732;8533;960919 00:00:00;174048;48;3626.00;"C"
6613;7926;960922 00:00:00;84120;24;3505.00;"A"
7036;10019;960925 00:00:00;194940;36;5415.00;"C"
5897;4476;960925 00:00:00;15192;24;633.00;"A"
6995;9814;960926 00:00:00;96168;12;8014.00;"A"
5415;2236;960926 00:00:00;139464;36;3874.00;"D"
7136;10436;960928 00:00:00;54396;36;1511.00;"C"
7271;11186;961002 00:00:00;392460;60;6541.00;"C"
5375;2106;961003 00:00:00;101520;12;8460.00;"A"
5635;3230;961004 00:00:00;77184;36;2144.00;"C"
6817;9024;961004 00:00:00;70656;48;1472.00;"C"
5923;4585;961010 00:00:00;64656;48;1347.00;"C"
5329;1862;961016 00:00:00;396120;60;6602.00;"C"
6644;8039;961020 00:00:00;93600;24;3900.00;"A"
6354;6688;961023 00:00:00;22968;36;638.00;"C"
5082;501;961024 00:00:00;262980;60;4383.00;"C"
6585;7795;961029 00:00:00;372120;60;6202.00;"C"
6921;9422;961029 00:00:00;86184;12;7182.00;"A"
5366;2062;961029 00:00:00;86184;12;7182.00;"A"
5886;4447;961031 00:00:00;192744;36;5354.00;"C"
5741;3754;961103 00:00:00;68544;24;2856.00;"A"
4996;132;961106 00:00:00;88440;12;7370.00;"A"
6015;5001;961109 00:00:00;110112;24;4588.00;"A"
6309;6434;961111 00:00:00;110136;24;4589.00;"A"
6073;5263;961112 00:00:00;276300;60;4605.00;"C"
6006;4948;961115 00:00:00;359760;60;5996.00;"C"
5611;3115;961115 00:00:00;321180;60;5353.00;"C"
6944;9548;961115 00:00:00;46176;48;962.00;"C"
7101;10297;961118 00:00:00;421008;48;8771.00;"C"
6599;7859;961119 00:00:00;72120;12;6010.00;"A"
6940;9510;961122 00:00:00;228276;36;6341.00;"C"
5209;1250;961125 00:00:00;182640;48;3805.00;"C"
5388;2153;961128 00:00:00;61560;12;5130.00;"A"
6011;4981;961128 00:00:00;179328;48;3736.00;"C"
5591;3021;961204 00:00:00;155616;48;3242.00;"C"
7154;10520;961205 00:00:00;417600;60;6960.00;"C"
7130;10411;961211 00:00:00;123408;24;5142.00;"A"
6818;9030;961212 00:00:00;155616;48;3242.00;"C"
5625;3189;961215 00:00:00;222180;60;3703.00;"D"
6805;8972;961221 00:00:00;45024;48;938.00;"C"
7233;10963;961225 00:00:00;115812;36;3217.00;"C"
7308;11362;961227 00:00:00;129408;24;5392.00;"A"
5895;4473;970103 00:00:00;93960;60;1566.00;"C"
7122;10365;970104 00:00:00;260640;36;7240.00;"D"
6173;5724;970108 00:00:00;232560;48;4845.00;"C"
6142;5591;970121 00:00:00;221880;60;3698.00;"C"
5358;2018;970121 00:00:00;38520;12;3210.00;"A"
6095;5358;970124 00:00:00;68340;60;1139.00;"C"
6878;9242;970124 00:00:00;23184;12;1932.00;"A"
6554;7637;970129 00:00:00;390096;48;8127.00;"C"
6793;8931;970130 00:00:00;186300;60;3105.00;"C"
7286;11271;970131 00:00:00;67320;36;1870.00;"C"
6076;5269;970202 00:00:00;117420;60;1957.00;"C"
5134;825;970202 00:00:00;53076;12;4423.00;"A"
5419;2246;970205 00:00:00;415800;60;6930.00;"C"
6255;6158;970208 00:00:00;247920;48;5165.00;"D"
5656;3353;970209 00:00:00;146064;24;6086.00;"C"
6934;9494;970209 00:00:00;116832;12;9736.00;"A"
6028;5072;970209 00:00:00;317520;60;5292.00;"C"
6490;7262;970210 00:00:00;73260;60;1221.00;"C"
6415;6950;970212 00:00:00;475680;48;9910.00;"C"
7087;10215;970220 00:00:00;44304;24;1846.00;"C"
5420;2247;970224 00:00:00;72504;24;3021.00;"C"
5977;4803;970225 00:00:00;59136;48;1232.00;"C"
6824;9052;970226 00:00:00;71976;24;2999.00;"D"
5207;1244;970228 00:00:00;35904;48;748.00;"C"
7115;10351;970304 00:00:00;88704;48;1848.00;"C"
7250;11069;970304 00:00:00;119136;48;2482.00;"C"
6010;4969;970306 00:00:00;150180;60;2503.00;"C"
6088;5317;970307 00:00:00;90180;36;2505.00;"C"
5682;3455;970307 00:00:00;67464;12;5622.00;"A"
7201;10807;970307 00:00:00;67464;12;5622.00;"A"
6938;9504;970310 00:00:00;341280;60;5688.00;"C"
6875;9235;970313 00:00:00;83280;48;1735.00;"C"
5953;4715;970314 00:00:00;97176;24;4049.00;"C"
5942;4681;970315 00:00:00;162624;48;3388.00;"C"
5382;2134;970317 00:00:00;22932;36;637.00;"C"
6377;6792;970317 00:00:00;17184;12;1432.00;"A"
5931;4618;970317 00:00:00;66696;24;2779.00;"D"
5992;4863;970318 00:00:00;76080;12;6340.00;"A"
5790;4033;970320 00:00:00;84288;48;1756.00;"C"
6753;8688;970320 00:00:00;67980;12;5665.00;"A"
6562;7674;970321 00:00:00;94488;24;3937.00;"C"
7046;10049;970328 00:00:00;91632;12;7636.00;"A"
5868;4361;970329 00:00:00;90156;12;7513.00;"A"
5784;3967;970329 00:00:00;84600;36;2350.00;"D"
5878;4415;970401 00:00:00;74040;12;6170.00;"A"
5110;675;970401 00:00:00;102240;60;1704.00;"C"
5210;1252;970401 00:00:00;148140;36;4115.00;"C"
7230;10954;970402 00:00:00;18720;60;312.00;"C"
5005;176;970410 00:00:00;27456;12;2288.00;"A"
6871;9225;970413 00:00:00;164256;48;3422.00;"C"
5363;2051;970422 00:00:00;293880;60;4898.00;"D"
7253;11079;970426 00:00:00;98304;12;8192.00;"A"
6055;5181;970428 00:00:00;399120;60;6652.00;"C"
5072;472;970428 00:00:00;196800;24;8200.00;"D"
6913;9377;970429 00:00:00;99936;24;4164.00;"C"
6386;6856;970430 00:00:00;124344;36;3454.00;"C"
5634;3229;970501 00:00:00;39024;12;3252.00;"A"
5758;3859;970502 00:00:00;307200;60;5120.00;"D"
6819;9031;970503 00:00:00;50112;24;2088.00;"C"
7088;10233;970503 00:00:00;239160;60;3986.00;"C"
5039;314;970503 00:00:00;66840;24;2785.00;"C"
5532;2754;970504 00:00:00;335280;48;6985.00;"C"
6037;5118;970504 00:00:00;53232;48;1109.00;"C"
6322;6510;970506 00:00:00;76992;24;3208.00;"C"
6887;9263;970508 00:00:00;39576;12;3298.00;"A"
6660;8094;970509 00:00:00;220428;36;6123.00;"C"
5451;2350;970511 00:00:00;159744;48;3328.00;"C"
6014;4999;970518 00:00:00;165168;36;4588.00;"C"
5556;2872;970519 00:00:00;268320;60;4472.00;"C"
6346;6649;970522 00:00:00;100260;60;1671.00;"C"
5850;4293;970522 00:00:00;164196;36;4561.00;"C"
5940;4660;970528 00:00:00;106944;24;4456.00;"C"
7119;10361;970602 00:00:00;86880;12;7240.00;"A"
5253;1447;970603 00:00:00;100080;48;2085.00;"C"
6851;9138;970603 00:00:00;272220;60;4537.00;"D"
6695;8320;970604 00:00:00;309660;60;5161.00;"C"
6908;9353;970608 00:00:00;188616;24;7859.00;"C"
7255;11096;970609 00:00:00;213300;60;3555.00;"C"
5674;3418;970610 00:00:00;207264;48;4318.00;"C"
6278;6265;970610 00:00:00;87360;24;3640.00;"C"
5486;2516;970613 00:00:00;466608;48;9721.00;"C"
5174;1093;970613 00:00:00;385104;48;8023.00;"C"
6621;7957;970614 00:00:00;42900;12;3575.00;"A"
6313;6461;970615 00:00:00;150912;36;4192.00;"C"
6435;7045;970616 00:00:00;288720;48;6015.00;"C"
6970;9677;970617 00:00:00;31620;60;527.00;"C"
6310;6440;970617 00:00:00;34572;12;2881.00;"A"
5932;4626;970618 00:00:00;33348;12;2779.00;"A"
6877;9241;970619 00:00:00;285240;60;4754.00;"C"
6763;8772;970619 00:00:00;88272;48;1839.00;"C"
7085;10202;970619 00:00:00;305424;48;6363.00;"C"
7049;10063;970624 00:00:00;233424;36;6484.00;"C"
6959;9633;970630 00:00:00;59448;24;2477.00;"D"
5214;1270;970701 00:00:00;74772;36;2077.00;"C"
6350;6678;970709 00:00:00;294384;48;6133.00;"C"
5063;442;970710 00:00:00;357840;48;7455.00;"D"
5041;319;970711 00:00:00;369000;60;6150.00;"C"
5086;525;970716 00:00:00;210384;48;4383.00;"C"
6942;9513;970716 00:00:00;18324;12;1527.00;"A"
5270;1528;970721 00:00:00;191088;48;3981.00;"C"
6705;8381;970725 00:00:00;333648;48;6951.00;"D"
7051;10068;970728 00:00:00;77808;12;6484.00;"A"
6758;8742;970729 00:00:00;33144;12;2762.00;"A"
6249;6138;970730 00:00:00;67608;24;2817.00;"C"
5808;4099;970731 00:00:00;41856;48;872.00;"C"
5377;2116;970804 00:00:00;92400;12;7700.00;"A"
5446;2334;970804 00:00:00;48312;24;2013.00;"C"
5856;4320;970809 00:00:00;51360;12;4280.00;"B"
4986;97;970810 00:00:00;102876;12;8573.00;"A"
7001;9859;970810 00:00:00;300600;60;5010.00;"C"
6677;8169;970812 00:00:00;97980;60;1633.00;"C"
6665;8114;970815 00:00:00;99300;60;1655.00;"C"
5817;4127;970815 00:00:00;100800;24;4200.00;"D"
6984;9730;970815 00:00:00;116040;60;1934.00;"C"
6541;7565;970817 00:00:00;153504;48;3198.00;"C"
5117;718;970820 00:00:00;76944;12;6412.00;"A"
6097;5362;970821 00:00:00;202848;48;4226.00;"C"
5389;2165;970822 00:00:00;78600;24;3275.00;"C"
7219;10905;970823 00:00:00;57120;48;1190.00;"C"
6338;6592;970824 00:00:00;390660;60;6511.00;"C"
6922;9424;970826 00:00:00;83628;36;2323.00;"C"
5367;2064;970826 00:00:00;83628;36;2323.00;"C"
5638;3249;970827 00:00:00;68124;12;5677.00;"A"
5830;4190;970828 00:00:00;405780;60;6763.00;"C"
5338;1888;970830 00:00:00;57360;12;4780.00;"B"
6007;4949;970830 00:00:00;289920;48;6040.00;"C"
6612;7907;970831 00:00:00;97392;12;8116.00;"A"
5718;3637;970901 00:00:00;14028;12;1169.00;"A"
6104;5395;970905 00:00:00;158184;36;4394.00;"C"
5229;1329;970906 00:00:00;23520;12;1960.00;"A"
6625;7966;970907 00:00:00;473280;60;7888.00;"D"
5206;1242;970907 00:00:00;128544;24;5356.00;"C"
5963;4746;970907 00:00:00;204780;60;3413.00;"C"
4990;110;970908 00:00:00;162576;36;4516.00;"C"
6641;8026;970909 00:00:00;128268;36;3563.00;"C"
5369;2080;970912 00:00:00;214596;36;5961.00;"C"
6196;5837;970914 00:00:00;177804;36;4939.00;"C"
5236;1374;970915 00:00:00;389136;48;8107.00;"C"
5719;3664;970920 00:00:00;271584;48;5658.00;"C"
5643;3273;970921 00:00:00;94512;12;7876.00;"B"
7050;10065;970923 00:00:00;311232;48;6484.00;"C"
6355;6699;970924 00:00:00;127200;48;2650.00;"C"
6688;8268;970926 00:00:00;8616;24;359.00;"C"
6239;6083;970928 00:00:00;360864;48;7518.00;"D"
5531;2753;970930 00:00:00;66432;24;2768.00;"C"
6113;5445;971001 00:00:00;78696;36;2186.00;"C"
7181;10679;971002 00:00:00;197808;24;8242.00;"C"
6118;5477;971004 00:00:00;349392;48;7279.00;"C"
7264;11141;971007 00:00:00;44940;12;3745.00;"A"
5343;1906;971008 00:00:00;44952;24;1873.00;"C"
5051;378;971011 00:00:00;230400;60;3840.00;"C"
5779;3942;971014 00:00:00;107352;36;2982.00;"C"
6605;7890;971014 00:00:00;79344;48;1653.00;"C"
6655;8085;971017 00:00:00;260400;60;4340.00;"D"
